#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
1,3,125,PID19120125,Burner,Auto double[ SBL ],0,2200,,SBL
2,3,126,PID19120126,Burner,Auto single[ SBL ],0,800,,SBL
3,3,127,PID19120127,Burner,Normal(double)[ SBL ],2,800,,SBL
4,3,128,PID19120128,Burner,Normal(Single)[ SBL ],11,375,,SBL
5,1,83,PID19120083,Empty Cylinder,12[ BIN Habib ],0,500,,BIN Habib
6,1,85,PID19120085,Empty Cylinder,35[ BIN Habib ],0,1500,,BIN Habib
7,1,87,PID19120087,Empty Cylinder,45[ BIN Habib ],0,2300,,BIN Habib
8,1,17,PID19120017,Empty Cylinder,12[ BM  ],247,500,,BM 
9,1,19,PID19120019,Empty Cylinder,33[ BM  ],3,1500,,BM 
10,1,21,PID19120021,Empty Cylinder,45[ BM  ],4,2300,,BM 
11,1,77,PID19120077,Empty Cylinder,12[ BOSUNDHARA ],4,500,,BOSUNDHARA
12,1,79,PID19120079,Empty Cylinder,35[ BOSUNDHARA ],0,1500,,BOSUNDHARA
13,1,81,PID19120081,Empty Cylinder,45[ BOSUNDHARA ],0,230,,BOSUNDHARA
14,1,113,PID19120113,Empty Cylinder,12[ Delta ],6,500,,Delta
15,1,115,PID19120115,Empty Cylinder,35[ Delta ],0,1500,,Delta
16,1,117,PID19120117,Empty Cylinder,45[ Delta ],0,2300,,Delta
17,1,71,PID19120071,Empty Cylinder,12[ Eurogas ],4,500,,Eurogas
18,1,73,PID19120073,Empty Cylinder,35[ Eurogas ],0,1500,,Eurogas
19,1,75,PID19120075,Empty Cylinder,45[ Eurogas ],0,2300,,Eurogas
20,1,47,PID19120047,Empty Cylinder,12[ G-Gas ],56,500,,G-Gas
21,1,49,PID19120049,Empty Cylinder,35[ G-Gas ],0,1500,,G-Gas
22,1,51,PID19120051,Empty Cylinder,45[ G-Gas ],0,2300,,G-Gas
23,1,1,PID19120001,Empty Cylinder,12[ JAMUNA ],931,500,,JAMUNA
24,1,5,PID19120005,Empty Cylinder,35[ JAMUNA ],0,1500,,JAMUNA
25,1,7,PID19120007,Empty Cylinder,45[ JAMUNA ],0,2300,,JAMUNA
26,1,3,PID19120003,Empty Cylinder,5.5[ JAMUNA ],18,300,,JAMUNA
27,1,101,PID19120101,Empty Cylinder,12[ JMI ],19,500,,JMI
28,1,103,PID19120103,Empty Cylinder,35[ JMI ],8,1500,,JMI
29,1,105,PID19120105,Empty Cylinder,45[ JMI ],0,2300,,JMI
30,1,95,PID19120095,Empty Cylinder,12[ Laughfs ],0,500,,Laughfs
31,1,97,PID19120097,Empty Cylinder,35[ Laughfs ],0,1500,,Laughfs
32,1,99,PID19120099,Empty Cylinder,45[ Laughfs ],0,2300,,Laughfs
33,1,59,PID19120059,Empty Cylinder,12[ NAVANA ],37,500,,NAVANA
34,1,61,PID19120061,Empty Cylinder,35[ NAVANA ],0,1500,,NAVANA
35,1,63,PID19120063,Empty Cylinder,45[ NAVANA ],0,2300,,NAVANA
36,1,89,PID19120089,Empty Cylinder,12[ Newaz  ],0,500,,Newaz 
37,1,91,PID19120091,Empty Cylinder,35[ Newaz  ],0,1500,,Newaz 
38,1,93,PID19120093,Empty Cylinder,45[ Newaz  ],0,2300,,Newaz 
39,1,9,PID19120009,Empty Cylinder,12[ OMERA ],212,500,,OMERA
40,1,13,PID19120013,Empty Cylinder,35[ OMERA ],0,1500,,OMERA
41,1,15,PID19120015,Empty Cylinder,45[ OMERA ],0,2300,,OMERA
42,1,11,PID19120011,Empty Cylinder,5.5[ OMERA ],7,300,,OMERA
43,1,53,PID19120053,Empty Cylinder,12[ ORION ],16,500,,ORION
44,1,55,PID19120055,Empty Cylinder,35[ ORION ],7,1500,,ORION
45,1,57,PID19120057,Empty Cylinder,45[ ORION ],0,2300,,ORION
46,1,37,PID19120037,Empty Cylinder,12[ PADMA ],562,500,,PADMA
47,1,39,PID19120039,Empty Cylinder,35[ PADMA ],0,1500,,PADMA
48,1,31,PID19120031,Empty Cylinder,12[ PETROMAX ],101,500,,PETROMAX
49,1,33,PID19120033,Empty Cylinder,35[ PETROMAX ],6,1500,,PETROMAX
50,1,35,PID19120035,Empty Cylinder,45[ PETROMAX ],0,2300,,PETROMAX
51,1,119,PID19120119,Empty Cylinder,12[ Pettry ],46,500,,Pettry
52,1,121,PID19120121,Empty Cylinder,35[ Pettry ],0,1500,,Pettry
53,1,123,PID19120123,Empty Cylinder,45[ Pettry ],0,2300,,Pettry
54,1,65,PID19120065,Empty Cylinder,12[ PROMITA ],20,500,,PROMITA
55,1,67,PID19120067,Empty Cylinder,35[ PROMITA ],0,1500,,PROMITA
56,1,69,PID19120069,Empty Cylinder,45[ PROMITA ],0,2300,,PROMITA
57,1,41,PID19120041,Empty Cylinder,12[ SENA ],10,500,,SENA
58,1,43,PID19120043,Empty Cylinder,35[ SENA ],0,1500,,SENA
59,1,45,PID19120045,Empty Cylinder,45[ SENA ],0,2300,,SENA
60,1,107,PID19120107,Empty Cylinder,12[ TK-Super ],6,500,,TK-Super
61,1,109,PID19120109,Empty Cylinder,35[ TK-Super ],0,1500,,TK-Super
62,1,111,PID19120111,Empty Cylinder,45[ TK-Super ],0,2300,,TK-Super
63,1,23,PID19120023,Empty Cylinder,12[ TOTAL ],362,500,,TOTAL
64,1,25,PID19120025,Empty Cylinder,15[ TOTAL ],96,700,,TOTAL
65,1,27,PID19120027,Empty Cylinder,33[ TOTAL ],18,1500,,TOTAL
